DEBUG super_duper: config.root_paths: ["D:/Data/Dev/Scratch/TestD3"]
TRACE super_duper::file_proc::scan: [DIRECTORY] "D:/Data/Dev/Scratch/TestD3\\bower_components\\angular-cookies"
TRACE super_duper::file_proc::scan: [ADDING_TO_MAP] "D:/Data/Dev/Scratch/TestD3\\src\\app\\main\\main.html"
TRACE super_duper::file_proc::scan: [GLOBBED_OUT] "D:/Data/Dev/Scratch/TestD3\\bower_components\\angular-cookies\\.bower.json"
TRACE super_duper::file_proc::scan: [GLOBBED_OUT] "D:/Data/Dev/Scratch/TestD3\\node_modules\\acorn\\src\\index.js"
TRACE super_duper::file_proc::scan: [GLOBBED_OUT] "D:/Data/Dev/Scratch/TestD3\\node_modules\\.bin\\esparse.cmd"
TRACE super_duper::file_proc::scan: [ADDING_TO_MAP] "D:/Data/Dev/Scratch/TestD3\\typings\\browser\\ambient\\jquery\\index.d.ts"
TRACE super_duper::file_proc::scan: [GLOBBED_OUT] "D:/Data/Dev/Scratch/TestD3\\node_modules\\adm-zip\\MIT-LICENSE.txt"
TRACE super_duper::file_proc::scan: [DIRECTORY] "D:/Data/Dev/Scratch/TestD3\\src\\assets"
TRACE super_duper::file_proc::scan: [GLOBBED_OUT] "D:/Data/Dev/Scratch/TestD3\\node_modules\\acorn\\src\\location.js"
TRACE super_duper::file_proc::scan: [GLOBBED_OUT] "D:/Data/Dev/Scratch/TestD3\\bower_components\\angular-cookies\\angular-cookies.js"
